Time,Temperature (°C),Wind Speed (km/h),Humidity (%)
2026-06-18T00:00,27.0,7.5,86
2026-06-18T01:00,26.6,6.2,88
2026-06-18T02:00,26.3,3.1,90
2026-06-18T03:00,26.3,2.5,87
2026-06-18T04:00,25.8,6.6,88
2026-06-18T05:00,25.8,3.8,88
2026-06-18T06:00,26.4,5.8,88
2026-06-18T07:00,26.8,6.1,85
2026-06-18T08:00,27.5,4.8,81
2026-06-18T09:00,28.2,5.9,77
2026-06-18T10:00,28.9,7.3,74
2026-06-18T11:00,29.3,8.7,75
2026-06-18T12:00,28.5,6.8,76
2026-06-18T13:00,28.9,7.2,74
2026-06-18T14:00,29.0,7.7,73
2026-06-18T15:00,28.6,9.6,75
2026-06-18T16:00,28.6,9.4,76
2026-06-18T17:00,28.5,9.5,73
2026-06-18T18:00,27.6,6.9,82
2026-06-18T19:00,27.4,6.1,85
2026-06-18T20:00,27.4,6.0,85
2026-06-18T21:00,27.3,6.1,86
2026-06-18T22:00,27.2,8.3,87
2026-06-18T23:00,27.1,6.9,87
2026-06-19T00:00,26.9,3.6,88
2026-06-19T01:00,26.5,2.7,90
2026-06-19T02:00,26.2,5.9,91
2026-06-19T03:00,25.9,3.8,90
2026-06-19T04:00,25.7,2.6,91
2026-06-19T05:00,25.6,2.6,92
2026-06-19T06:00,25.8,4.5,92
2026-06-19T07:00,26.0,4.4,90
2026-06-19T08:00,26.8,7.3,85
2026-06-19T09:00,27.8,8.8,79
2026-06-19T10:00,28.5,9.5,76
2026-06-19T11:00,28.8,10.7,75
2026-06-19T12:00,27.8,11.1,79
2026-06-19T13:00,28.0,10.9,80
2026-06-19T14:00,28.4,11.4,78
2026-06-19T15:00,27.6,12.5,79
2026-06-19T16:00,27.8,11.8,80
2026-06-19T17:00,27.6,10.4,80
2026-06-19T18:00,26.2,5.7,86
2026-06-19T19:00,26.1,6.6,89
2026-06-19T20:00,25.8,6.2,91
2026-06-19T21:00,25.8,5.0,92
2026-06-19T22:00,25.7,3.6,94
2026-06-19T23:00,25.4,3.7,96
2026-06-20T00:00,25.5,4.9,92
2026-06-20T01:00,25.2,3.1,94
2026-06-20T02:00,24.7,4.9,94
2026-06-20T03:00,24.6,5.2,92
2026-06-20T04:00,24.7,1.5,91
2026-06-20T05:00,24.5,8.1,91
2026-06-20T06:00,24.3,4.1,94
2026-06-20T07:00,24.2,7.5,93
2026-06-20T08:00,24.7,4.1,91
2026-06-20T09:00,25.9,2.4,84
2026-06-20T10:00,26.8,6.2,81
2026-06-20T11:00,27.7,8.5,79
2026-06-20T12:00,26.0,10.5,85
2026-06-20T13:00,26.8,8.5,82
2026-06-20T14:00,27.4,10.8,80
2026-06-20T15:00,27.3,13.0,79
2026-06-20T16:00,27.1,12.3,80
2026-06-20T17:00,27.0,11.4,81
2026-06-20T18:00,26.7,10.0,84
2026-06-20T19:00,26.5,9.0,86
2026-06-20T20:00,26.2,9.3,85
2026-06-20T21:00,26.2,8.5,88
2026-06-20T22:00,26.1,6.9,89
2026-06-20T23:00,25.6,4.2,91
